"Target","Source","Year","Weight"
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2012,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2016,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL SOFTWARE",2012,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL SOFTWARE",2013,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL SOFTWARE",2014,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL SOFTWARE",2015,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL SOFTWARE",2016,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL SOFTWARE",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL SOFTWARE",2018,6
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL SOFTWARE",2019,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2016,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2018,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2020,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2019,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2021,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2016,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2016,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2018,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2019,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2020,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF TIME SERIES ANALYSIS",2019,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","R JOURNAL",2016,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","R JOURNAL",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","R JOURNAL",2019,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","R JOURNAL",2020,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","SCANDINAVIAN JOURNAL OF STATISTICS",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","SCANDINAVIAN JOURNAL OF STATISTICS",2019,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","SCANDINAVIAN JOURNAL OF STATISTICS",2020,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","SCANDINAVIAN JOURNAL OF STATISTICS",2021,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","SPATIAL STATISTICS",2017,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICA SINICA",2018,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL ANALYSIS AND DATA MINING",2015,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL ANALYSIS AND DATA MINING",2016,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL ANALYSIS AND DATA MINING",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL ANALYSIS AND DATA MINING",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL ANALYSIS AND DATA MINING",2020,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL METHODS AND APPLICATIONS",2013,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL METHODS AND APPLICATIONS",2014,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL METHODS AND APPLICATIONS",2015,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL METHODS AND APPLICATIONS",2016,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL METHODS AND APPLICATIONS",2018,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL METHODS AND APPLICATIONS",2019,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","STATISTICAL METHODS AND APPLICATIONS",2020,6
