"Target","Source","Year","Weight"
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2005,11
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2006,12
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2007,23
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2008,25
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2009,14
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2010,31
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2011,64
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2012,65
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2013,97
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2014,170
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2015,130
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2016,171
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2017,133
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2018,124
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2019,110
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2020,114
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2021,8
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",1987,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",1988,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",1991,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",1993,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",1994,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",1995,11
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",1996,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",1997,13
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",1998,9
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",1999,9
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2000,15
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2001,4
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2002,13
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2003,10
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2004,14
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2005,8
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2006,26
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2007,27
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2008,42
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2009,44
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2010,50
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2011,113
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2012,65
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2013,36
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2014,42
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2015,19
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2016,21
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2017,13
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2018,21
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2019,34
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2020,22
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2006,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2007,10
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2008,13
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2009,15
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2010,22
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2011,15
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2012,40
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2013,26
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2014,21
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2015,56
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2016,34
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2017,32
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2018,34
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2019,26
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF STATISTICAL SOFTWARE",2020,25
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1984,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1985,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1986,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1989,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1990,5
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1992,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1993,9
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1994,13
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1995,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1996,14
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1997,9
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1998,8
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",1999,12
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2000,5
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2001,9
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2002,10
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2003,7
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2004,7
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2005,12
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2006,12
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2007,6
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2008,20
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2009,25
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2010,19
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2011,27
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2012,31
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2013,29
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2014,30
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2015,34
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2016,40
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2017,31
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2018,39
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2019,63
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2020,26
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION",2021,4
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",1987,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",1993,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",1994,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",1995,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",1998,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",1999,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2000,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2001,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2003,4
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2004,5
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2005,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2006,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2007,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2008,5
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2009,4
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2010,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2011,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2012,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2013,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2014,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2015,11
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2016,8
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2017,27
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2018,13
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2019,12
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2020,6
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY",2021,7
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",1984,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",1992,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",1993,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",1998,4
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",1999,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2000,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2001,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2002,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2003,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2004,9
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2005,6
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2006,7
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2007,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2008,16
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2009,21
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2010,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2011,10
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2012,11
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2013,4
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2014,6
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2015,7
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2016,13
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2017,16
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2018,8
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2019,12
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2020,10
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY",2021,4
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",1984,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",1988,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",1991,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",1992,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",1997,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",1998,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",1999,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2001,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2002,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2003,5
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2004,6
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2005,7
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2006,9
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2007,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2008,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2009,9
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2010,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2011,9
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2012,15
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2013,22
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2014,4
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2015,17
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2016,11
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2017,8
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2018,22
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2019,18
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2020,31
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS",2021,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES D-THE STATISTICIAN",1988,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES D-THE STATISTICIAN",1994,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES D-THE STATISTICIAN",1996,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES D-THE STATISTICIAN",1998,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES D-THE STATISTICIAN",1999,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES D-THE STATISTICIAN",2000,3
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF TIME SERIES ANALYSIS",2000,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF TIME SERIES ANALYSIS",2001,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF TIME SERIES ANALYSIS",2002,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF TIME SERIES ANALYSIS",2003,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF TIME SERIES ANALYSIS",2004,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF TIME SERIES ANALYSIS",2005,2
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF TIME SERIES ANALYSIS",2006,1
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF TIME SERIES ANALYSIS",2007,4
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","JOURNAL OF TIME SERIES ANALYSIS",2008,2
